SolicitationType,Category,ShortDescription,LongDescription,CloseDateUtc,ContactFirstName,ContactLastName,ContactPhone,ContactFax,CreatedDate,PostDateUtc,SubmissionAddress,Title,RegionOfDelivery,RegionOfOpportunity,AgreementType,OpportunityType,AitExceptionReason,Jurisdiction,SystemOfOrigin,SystemOfOrigin2,OriginSystemUrl,Gsins,ResponseSpecifics,OpportunityGuid,SolicitationNumber,ReferenceNumber
Request for Tender,Construction,L Building 2nd Floor Washroom Renewal Renovation Project.,"****Addendum 03*****

*****REVISED CLOSING DATE*****

L Building 2nd Floor Washroom Renewal Renovation Project.",2019-07-09T20:00:00,Karen,Ridgely,(780)471-7459,,2019-06-11T21:45:59,2019-06-11T22:02:50,"NAIT Facilities Management and Development
5th Floor Administration Building
11762 - 106th Street, NW
Edmonton, Alberta
T5G 2R1",NAIT L Building 2nd Floor Washroom Renewal,Alberta,Open,NWPTA/TILMA & CFTA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=905DDCD4-C498-4059-A81C-2B5E2553132A,5127B Construction of Educational Buildings,,905ddcd4-c498-4059-a81c-2b5e2553132a,F19-0343,AB-2019-03809
Invitation to Tender,Construction,,"BLESS PLATFORM REPAIRS

Sealed Tenders, clearly marked as to content, will be received by the City of St. Albert, Customer
Services Department, Main Floor at St Albert Place, 5 St Anne Street, St. Albert, Alberta T8N 3Z9 up to
2:00:00 pm hours local time on July 10, 2019, for the City of St Albert – BLESS Platform Repairs. The
time will be conclusively determined using the National Research Council of Canada Webclock at
http//time5.nrc.ca/webclock_e.shtml.

Tender opening will not be public. The final results will not be released until a contract has been awarded
by the City.

The Work to be undertaken is generally described as: BLESS Platform Repairs in the City of St. Albert.
Includes approximately:

· Carefully remove and store existing picnic table currently at platform
· Removal of all existing deck framing and guardrail at octagonal end of platform
· Removal of 8 existing timber piles at octagonal end, to be cut off at lake bed level.
· Supply, engineering, and installation of 8 new helical piles at octagonal end of boardwalk.
· Supply and installation of steel and timber cross bracing.
· Supply and installation of preservative treated wood/timber framing to augment existing
boardwalk and to construct a new deck and guardrail at the octagonal end of platform.
· Supply and installation of other necessary augmentations to existing section of platform and
guardrails.
· Replace picnic table at octagonal end and install BLESS-provided binoculars at octagonal end of
platform.

Starting 4:00:00 pm, local time, on June 12, 2019 Tender Documents and Drawings may be obtained
from the Alberta Purchasing Connection (APC) and from the BuildWorks Canada Plans Rooms websites.
Please be aware that it is the Bidders responsibility to obtain any and all addenda from the websites if the
original contract documents are obtained from either the Alberta Purchasing Connection or Build Works
Canada Electronic Plans Room.

A copy of the Tender Documents and Drawings may be examined at the offices of the City of St. Albert
(Engineering Services Department, 5 St. Anne Street, St. Albert, AB, 2nd Floor) and/or ISL Engineering
and Land Services (Suite 100 – 7909 – 51 Ave NW, Edmonton, AB), between the hours of 8:00am and
5:00pm, Monday to Friday.

Bidders are completely responsible for ensuring that their bids reach the correct final location prior to the
bid submission deadline. Fax, email and other non hard copy forms of bids or amendments WILL NOT
be accepted.

A bid bond or certified cheque for the amount of ten percent (10%) of the Tender Price is to accompany
each Tender. Submission of a Tender by the Bidder gives the City the right to require the Bidder to
execute the Contract and to perform the Work as set out within the Tender Documents. Tenders may not
be withdrawn at or after the Tender submittal deadline and will be irrevocable and open for acceptance by
the City for a period of sixty (60) days following the Tender submittal deadline.

The bidder acknowledges and will be willing to accept the role of prime contractor pursuant to the
occupational health and safety act requirements and by submission of a bid acknowledges that it has the
capability of fulfilling this requirement.

The City reserves the right, without prejudice, to reject any or all Tenders.
Inquiries regarding the Tender Document and/or Drawings shall be directed to:

Melissa Kindratsky, ISL Engineering and Land Services
101-621 10 Street
Canmore, Alberta T1W 2A2
mkindratsky@islengineering.com
1-403-678-4211",2019-07-10T20:00:00,Justin,VanDorp,(780)459-1663,,2019-06-12T19:03:21,2019-06-12T20:02:43,,BLESS Platform Repairs,Alberta,Open,NWPTA/TILMA & CFTA & CETA & WTO GPA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=5877DA62-7673-4862-BD27-2C1AD1B9950F,"5139A Construction Services, Not Elsewhere Specified  5139D General Marine Construction Work  5151B Pile Driving  5176B Wood and Metal Joinery and Carpentry  N5510DH Lumber, Treated, Marine Construction  N5680F Deck Floor, N.E.S.",,5877da62-7673-4862-bd27-2c1ad1b9950f,418459,AB-2019-03826
Request for Proposal,Services,,"Addendum 1 uploaded - June 28, 2019.

Edmonton Public Schools is accepting proposals for Security Guard Services for the District.",2019-07-09T20:00:00,Mohamed,Hussein,(780)429-8198,,2019-06-14T18:29:23,2019-06-14T20:15:42,Upload submissions at: https://epsb.bonfirehub.ca/opportunities/24442,P7697 Security Guard Services,Alberta,Open,NWPTA/TILMA & CFTA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=6CDE10D4-A799-4DC2-A83B-2C4F6BFB3367,K105A Commercial Security Guard and Related Services,Upload submissions at: https://epsb.bonfirehub.ca/opportunities/24442,6cde10d4-a799-4dc2-a83b-2c4f6bfb3367,P7697,AB-2019-03864
Request for Proposal,Services,,"This request for proposal (RFP) is an invitation to accredited agencies and Safety Codes Officers in the building discipline to submit proposals for the provision of building permit review and inspection services in the building discipline, pursuant to the Alberta Safety Codes Act and in accordance with the Town’s Uniform Quality Management Plan, for the Town of Canmore. Prospective vendors are advised that failure to satisfy any term or condition of this RFP may result in a proposal not being considered.",2019-07-19T20:00:00,Michael,Fark,(403)678-1514,4036781534,2019-06-28T15:32:52,2019-06-28T15:52:12,,Building Inspection/Safety Codes Services,Alberta,Open,Non-Applicable,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=F58C285D-B696-432E-9355-2C5F7D9D4EF9,H300E Construction Inspection Services  M190C Building Management Plans (BMP)  R199F Administrative Management and Planning Services  R201D Services of Individuals - Except Consultants,,f58c285d-b696-432e-9355-2c5f7d9d4ef9,SCO 2019,AB-2019-04122
Request for Proposal,Services,"For Bid Documents, please visit the following link:
https://lloydminster.bidsandtenders.ca/Module/Tenders/en",The City of Lloydminster wishes to engage a qualified consultant to prepare a Master Plan for the period of up to 2045 to assist in its goal to become the top regional airport in the Midwest. The intent of building a Master plan is to provide the framework needed to guide the future development of the airport as well as the surrounding airport employment lands that will cost effectively satisfy aviation demand while considering potential environmental and socioeconomic impacts.,2019-07-24T20:00:00,Daniel,Hobson,(780)875-6184,,2019-07-02T13:45:18,2019-07-02T13:48:23,dhobson@lloydminster.ca,Regional Airport Master Plan,Alberta,Open,NWPTA/TILMA & CFTA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=294CC4BF-98A8-4C6B-AD4D-2C825CBF57F2,"C219BB Consulting Engineers, Air Traffic Control, Military  R019F Consulting Services","For Bid Documents, please visit the following link:
https://lloydminster.bidsandtenders.ca/Module/Tenders/en",294cc4bf-98a8-4c6b-ad4d-2c825cbf57f2,EDRFP 2019-02,AB-2019-04145
Request for Proposal,Services,"Provide full services for a Design Build Project to provide roof access, and railings to multiple building to mitigate life-safety concern.","The Bid Document(s) for this opportunity has been posted on http://rmwb.bidsandtenders.ca for viewing and downloading. All correspondence regarding this opportunity will be communicated through bids&tenders only.

Submissions of bids will continue to be received via email: tenders@rmwb.ca and hard copies at:
9909 Franklin Avenue
Fort McMurray, AB T9K 2K4

Proposals will be received up to 14:00:59 pm, (local time) July 17, 2019

Note: Proposals will not be opened publicly.",2019-07-17T06:00:00,Gracey,Balacang,780-743-7897,,2019-06-19T19:23:16,2019-06-19T19:28:58,"Procurement
Attn: RFP-2019-40			
9909 FRANKLIN AVE
FORT MCMURRAY, ALBERTA

tenders@rmwb.ca",RFP-2019-40 – Provision of Building Roof Access,Alberta,Open,NWPTA/TILMA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=01FEBCEA-89B6-4B42-99D5-2D71433D4AC4,"C119B Design Build Services - Real Property  H300AE Roof Inspection Services  N5410AM Buildings, Prefabricated, Pre-Engineered and Building Systems, Metal  N5620E Plank, Asphalt, Roofing and Flooring  N5650A Roofing Materials  N5650AA Roofing Materials (N.E.S.)","Vendors must be a Plan Taker to submit a bid for this RFP by clicking the ""Register for this Bid"" button on the bids&tenders website under the chosen project, and login or create an account. Submissions from vendors that are not from the ""Plan Takers"" list will not be accepted.",01febcea-89b6-4b42-99d5-2d71433d4ac4,RFP-2019-40,AB-2019-03940
Negotiated Request for Proposal,Services,,"The Town of Stony Plain is seeking proposals from qualified firms of Chartered Professional Accountants to provide financial audit services performed in accordance with Canadian Generally Accepted Auditing Standards as set forth by the Chartered Professional Accountants of Canada (CPA), Public Sector Accounting Standards (PSAB), and to express an opinion as to whether the audited financial statements are in all material respects, in accordance with the appropriate financial reporting frameworks and present report(s) to Council.",2019-07-11T20:00:00,Travis,Ratsoy,780-963-8657,780-963-2197,2019-06-14T15:16:56,2019-06-18T14:00:00,"Proposals must be submitted through Stony Plain’s online Bonfire portal at:
https://stonyplain.bonfirehub.ca/opportunities/24098
Submissions by other methods will not be accepted.",External Municipal Financial Auditing Services,Alberta,Open,NWPTA/TILMA & CFTA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=BD728B01-AB75-4E69-B25B-2E3F101919DC,R010AG Finance & Accounting Services Audits (Supply Arrangement PASS),"Proposals must be uploaded and finalized on or before the Submission Deadline set out in the RFP Timetable.  
Uploading large documents may take significant time, depending on file size and internet connection speed. It is strongly recommended that proponents allow sufficient time of at least one (1) day before the Submission Deadline to upload documents and finalize their submissions.
Proponents will receive an email confirmation receipt with a unique confirmation number upon finalizing their submissions.
Minimum system requirements: Internet Explorer 11, Microsoft Edge, Google Chrome, or Mozilla Firefox. Javascript must be enabled. Browser cookies must be enabled.",bd728b01-ab75-4e69-b25b-2e3f101919dc,2019-15,AB-2019-03858
Request for Proposal,Services,,"Addendum #2 - posted July 2, 2019

*****************************************
Addendum #1 posted June 19, 2019

*****************************************
This Request for Proposals (the “RFP”) is an invitation by the City to submit non-binding proposals for the provision of Supplying Janitorial Cleaning Services for City Facilities (“Deliverables”) as set out in this RFP. The Service will include regularly scheduled cleaning of City facilities, including supplying all labor, equipment and materials necessary to perform the Deliverables. The selected proponent will be requested to enter into negotiations for an agreement with the City for the Services.

The initial term of the contract will be for three (3) years. The City’s intent is to, subject to satisfactory performance and mutual agreement, utilize the company for the same Services that may be required in the future.  Therefore, the agreement may be, at the City’s sole discretion, extended for an additional three (3) years.

Mandatory Site Visits will be held on June 24, 2019 at 8:30 a.m. local time commencing at Town and Country Centre, 275 Jensen Drive SW .",2019-07-17T20:00:59,Teresa,Rusk,403-948-8800 EXT 6365,403-948-6567,2019-06-18T20:52:42,2019-06-18T21:09:08,,Services - Janitorial Cleaning for City Facilities,Alberta,Open,NWPTA/TILMA & CFTA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=2EE2873D-DF7B-4BAF-B02D-2E587393ECB5,"K100A Cleaning and Maintenance, Janitorial  K100AB Cleaning Ceiling Services",,2ee2873d-df7b-4baf-b02d-2e587393ecb5,R802-2018-RB,AB-2019-03926
Request for Proposal,Services,,"Alberta Transportation requests the submission of proposals for:

SPECIALIZED LEVEL II INSPECTIONS
Cover Plate Inspections (CP)
Ultrasonic Truss Inspections (UT)
Constraint Induced Fracture and Fatigue Inspections (CIF)
Pin Hanger and Hinge Inspections (PHH)

Visual Engineering Inspection & Non-Destructive Testing

THE PROPOSAL MUST BE SUBMITTED IN TWO SEPARATE FILES; PART ONE (TECHNICAL QUALIFICATIONS) AND PART TWO (PROPOSAL FEE) (PDF DOCUMENTS EACH LESS THAN 10MB IN SIZE.

This is a Request for Proposal and not an Invitation to Tender.  Alberta Transportation reserves the right to:

a)  Request clarification from the Contractor on a proposal at any time during the evaluation process.
b)  Accept a proposal without negotiation.
c)  Reject a proposal without negotiation
d)  Negotiate changes in the Technical or Financial content of the successful proposal.

No payment will be made by Alberta Transportation for costs incurred in the preparation or submission of this proposal.  Selection of the Consultant will be based on the best overall value to Alberta Transportation and not necessarily the lowest cost estimate.",2019-07-05T05:30:00,John,Alexander,(780)415-1015,,2019-02-22T22:12:21,2019-02-22T22:29:34,trans.rfp@gov.ab.ca,CON0020982 NORTHERN AREA & CON0020983 SOUTHERN AREA Specialized Level II Inspections,Alberta,Open,NWPTA/TILMA & CFTA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=F1AA7702-0C1E-4570-8917-2FC647140BFC,"AT919500 Transportation (R&D)  V401B Transportation  V401I Transportation Services, Not Elsewhere Specified",THE PROPOSAL MUST BE SUBMITTED IN TWO SEPARATE FILES; PART ONE (TECHNICAL QUALIFICATIONS) AND PART TWO (PROPOSAL FEE).  PDF DOCUMENTS EACH LESS THAN 10MB IN SIZE.,f1aa7702-0c1e-4570-8917-2fc647140bfc,CON0020982 & CON0020983 - Addendum No. 7,AB-2019-01293
Request for Proposal,Services,"The Town of High River (""High River"") is inviting proposals to provide facility assessments of Four(4) town owned facilities.","Scope of Work - The Consultant is to provide a written report documenting the Condition Assessments of the Facilities. As a result of the building assessment, building components will be identified that will either require repair or replacement, anticipated life cycles, and subsequent yearly operations and maintenance needs. The Facility Assessments will include in priority order but not limited to the following building components:
a. Building Envelope
b. Roof
c. Mechanical
d. Electrical
e. Building Code Compliance
f. Structural
g. Maintenance prepare a capital cost plan for  maintenance, repairs and or replacements
h. Operations and Maintenance Schedules, review
I. Energy Efficiency
j. Future growth, renovation and expansion requirements
k. Soil radiation testing under the facilities",2019-07-18T20:00:00,Kevin,Albert,403-652-4657,403-601-8692,2019-06-26T21:13:56,2019-06-26T21:26:47,"640 7th St NW
High River, Alberta
T1V 1R2",2019 Multiple Facility Assessment RFP for Town of High River,Alberta,Open,NWPTA/TILMA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=074C3361-1535-4ACE-8320-3093ABDE08E0,M190C Building Management Plans (BMP),,074c3361-1535-4ace-8320-3093abde08e0,20190626,AB-2019-04075
Request for Proposal,Services,,"This Request for Proposals (“RFP”) is an invitation by the Town of Sylvan Lake (the “Town”) to prospective qualified proponents to submit proposals for the provision of cleaning/flushing, inspection, assessment and reporting services via Closed Circuit Television (CCTV) on existing sanitary sewer gravity mains to NASSCO PACP requirements. The total length of mains to be cleaned/flushed, inspected and assessed is estimated at 2706 metres. Another 910 metres of mains will be provisional. Removal of existing solid obstructions will also be required as well as other related work as further described in Part 2 – The Deliverables (the “Deliverables”). 

Proponents shall obtain the RFP package exclusively from the Town’s procurement website (https://sylvanlake.bidsandtenders.ca) on or after Friday, June 28, 2019.

For the purposes of this RFP, the “Town Contact” shall be: 

David Yee, P.Eng.
Project Manager/Asset Management
dyee@sylvanlake.ca",2019-07-12T16:00:00,David,Yee,(403) 887-2141,(403) 887-3660,2019-06-27T22:26:53,2019-06-28T19:00:00,"5012 48 Avenue
Sylvan Lake, AB
T4S 1G6",Closed Camera Television (CCTV) Sanitary Sewer Mains 2019,Alberta,Open,NWPTA/TILMA & CFTA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=980D9740-3B61-4252-843D-30DB93179BDD,"5133D Sewers/ Drainage  5162D Sewers and Drains  5169AB Inspection, Sewage Pipe  H300AD Inspection, Sewage Pipe",See RFP document.,980d9740-3b61-4252-843d-30db93179bdd,2019-CCTV,AB-2019-04114
Request for Proposal,Goods,,"EPCOR requires a qualified contractor for the supply and delivery of structural galvanized steel supports and gantries as described in Appendix 1 – Information and miscellaneous galvanized steel hardware (erection bolts, nuts, washers, load indicator washers, shims, wedges and levelling plates required for proper fit-up).
The Work shall include the supply of all materials not herein specifically mentioned but which are found necessary to complete or perfect any portion of the Work in compliance with the requirements of the specifications and steel supports and gantries, and for normal operation of the steel supports and gantries.",2019-07-19T20:00:59,Angela,Killips,780-412-3130,,2019-06-28T16:30:52,2019-06-28T16:32:56,Refer to https://epcor.bidsandtenders.ca/Module/Tenders/en/Tender/Detail/60c44314-45af-4dc8-b8e9-0a27b500ba41 for details,"Substation Steel Structures, Supply and Deliver",Alberta,Open,NWPTA/TILMA & CFTA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=321D991E-2E46-4D82-9526-3369AB8EEAF5,"5155C Structural Steel Work  N9520 Structural Shapes  N9520D STEEL, STRUCTURAL  N9540 Structural Shapes, Nonferrous Base Metal",Refer to https://epcor.bidsandtenders.ca/Module/Tenders/en/Tender/Detail/60c44314-45af-4dc8-b8e9-0a27b500ba41 for details,321d991e-2e46-4d82-9526-3369ab8eeaf5,3008,AB-2019-04125
Request for Proposal,Services,,"*View bid package above*

FULL TITLE BELOW:
REQUEST FOR PROPOSAL (RFP)
for
CONSTRUCTION PROJECT MANAGEMENT TRAINING
SERVICES
for
PROJECT MANAGEMENT CENTRE OF EXPERTISE (PMCOE),
ALBERTA INFRASTRUCTURE

PLEASE NOTE:

THE INITIAL INTAKE DATE AND TIME IS: 
September 06, 2018 at 4:00:00 p.m. Alberta time.
Proposals received before Initial Intake Date and Time will be evaluated for establishing an initial Standing Offer List.

THE RFP CLOSING DATE AND TIME IS:
August 31, 2020 at 4:00:00 p.m. Alberta time.
Proposals received after the Initial Intake Date and Time but before the RFP Closing Date and Time will be evaluated at least once every twelve (12) months.

*Addendum No. 1, August 21, 2018*

*Addendum No. 2, September 04, 2018*",2020-08-31T22:00:00,Darlene,Germin,(780) 000-0000,,2018-08-17T19:56:06,2018-08-17T20:16:50,,"RFP for CONSTRUCTION PROJECT MANAGEMENT TRAINING SERVICES for PMCOE, Alberta Infrastructure",Alberta,Open,NWPTA/TILMA & CFTA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=00259E00-E1D8-43E3-980A-349D77604434,"R006C Writing Services  R019BF Human Resource Services, Business Consulting/Change Management; Project Management Services (Supply Arrangement TSPS)  R019F Consulting Services  U001A Seminars  U008C Training Design  U008N Training and Curriculum Development  U099A Business Training  U099AA Educational Services - Business Training  U099C Educational Services, N.E.S.",,00259e00-e1d8-43e3-980a-349d77604434,18759,AB-2018-05344
Request for Proposal,Goods,,The Town of Sylvan Lake is seeking Proposals from qualified Proponents to supply one (1) Electric Scissor Lift for the NexSource Centre.,2019-07-09T20:00:00,Kyle,Teune,403 887 2800 x 316,,2019-06-06T17:56:36,2019-06-06T18:30:00,"5012 - 48 Avenue,
Sylvan Lake, Alberta
T4S 1K1",NexSource Centre Scissor Lift,Alberta,Open,Non-Applicable,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=4F7514F5-BEB1-4CCF-A27A-36F7235C17DB,"N3930G Truck, Scissors Lift, Self-Propelled, Electric",,4f7514f5-beb1-4ccf-a27a-36f7235c17db,CP1938,AB-2019-03736
Request for Tender,Construction,,RFT-2019-53 Minor Sections Roads Repairs,2019-07-18T20:00:59,Abimbola,Dickson,780.743.7953,,2019-06-24T19:27:40,2019-06-24T21:30:00,"4th Floor, Jubilee Building, 9909 Franklin Avenue, Fort McMurray AB T9H2K4",Minor Sections Roads Repairs,Alberta,Open,NWPTA/TILMA & CFTA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=8009A8F8-5A2F-478F-96C2-370A47494C39,"5139A Construction Services, Not Elsewhere Specified  5139C General Heavy Construction  C119C Construction Supervision Services  H300E Construction Inspection Services  N2230 Right-of-Way Construction and Maintenance Equipment, Railroad  N5610LA Aggregate, Construction, Fire Clay, Crushed",,8009a8f8-5a2f-478f-96c2-370a47494c39,RFT-2019-53,AB-2019-04014
Request for Proposal,Services,,"The City of Calgary (The City), on behalf of the Calgary Police Service (CPS) is seeking a qualified consulting firm to conduct an in-depth review of deployment and shift scheduling of its Patrol Operations division. 
The purpose of this review is to ensure the efficient and effective deployment of patrol resources to serve the needs of citizens, while safeguarding officer wellness and safety.

The City and the Negotiations Proponent will enter into discussions to develop the Scope and Fee Schedule, and finalize any project specific terms and conditions.  Through the discussions, the Negotiations Proponent and The City will clarify and confirm expectations and solidify details with respect to the detailed work plan, team members and scheduling. The City does not intend to negotiate changes to the Consulting General Conditions. If an Agreement is reached between the parties, the services, fees and any project specific details agreed to for the project or the initial Phase will be documented in a Scope and Fee Schedule to be attached to the Agreement Letter.

This procurement process is not intended to create and will not create a formal legally binding bidding process and will instead be governed by the law applicable to direct commercial negotiations.",2019-07-15T22:00:59,Lorie,Cowley,403-268-4828,,2019-06-19T17:46:31,2019-06-19T17:50:41,"Bidding documents should be obtained from Merx as shown below.  Bids are to be submitted via the Merx 4 online portal found at www.calgary.merx.com   Hard copies will not be accepted.  Failure to submit via Merx 4 will result in a non-compliant bid.
*Contractors must register on the Merx 4 portal.",19-1648 Calgary Police Service Optimization Review,Alberta,Open,NWPTA/TILMA & CFTA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=50AC3034-8AD6-4FF9-917D-374300B898CB,"R019BF Human Resource Services, Business Consulting/Change Management; Project Management Services (Supply Arrangement TSPS)  R019F Consulting Services  R121C Employment / Training Program Evaluation  R199I Human Resources Support Services (HRSS): Organization and Classification, Staffing and Compensation  R199IO Personnel Management: Staff Relations  R199IP Personnel Management: Staffing",,50ac3034-8ad6-4ff9-917d-374300b898cb,19-1648,AB-2019-03938
Request for Proposal,Goods,,"The University of Alberta, Department of Earth and Atmospheric Sciences is planning to purchase an Environmental Powder X-ray Diffractometer.",2019-07-18T20:00:00,Eileen,Anderson,780-492-0911,780-492-0607,2019-06-21T19:19:37,2019-06-21T19:50:18,,Environmental X-Ray Diffractometer,Alberta,Open,NWPTA/TILMA & CFTA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=A287C34D-7428-4BFC-95AA-39A673B57A3B,"AZ110114 Real Time Analysis: Science and Technology Related (R&D)  N6635FJ SPECTROMETER, X-RAY DIFFRACTION  N6635MD X-RAY EQUIPMENT, DIFFRACTION  N6640 Laboratory Equipment and Supplies  N6640RA LABORATORY EQUIPMENT, SPECIAL (N.E.S.)",,a287c34d-7428-4bfc-95aa-39a673b57a3b,RFP 2019-0106,AB-2019-03993
Request for Pre-Qualification,Services,,"In the event the province requires resources for emergency operations and activities related to wildfire operations, the Ministry of Agriculture and Forestry may enter into non-guaranteed contracts to deliver those services. The term “non-guaranteed” means the individual will be hired on an as-needed basis with no guarantee of work. Agreements may be signed with qualified individuals who intend on conducting business with the province. Wildfire positions available are listed to the right and individual qualifications for positions will be evaluated based on wildfire experience and training. All positions require insurance and many positions require completing a fitness test. Please contact your local forest area office for more information",2021-03-31T22:00:59,Contact your local Forest Area office,Contact your local Forest Area office,(780)310-0000,,2019-02-15T20:34:33,2019-02-15T20:40:11,Contact your local Forest Area office,Single Resource Contracts,Alberta,Open,NWPTA/TILMA & CFTA & CETA & WTO GPA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=7941D826-E5D2-4F1A-94F6-3ADB770A02D8,"F001B Fire Prevention - Forestry  F010B Forestry Services, Not Elsewhere Specified",See opportunity notice,7941d826-e5d2-4f1a-94f6-3adb770a02d8,20PQRAFD950,AB-2019-01143
Request for Proposal,Goods,,The Faculty of Medicine - Pharmacology Department of the University of Alberta is requesting proposals for the purchase of an Epifluorescent Microscope. The microscope will be used for high speed acquisition of fluorescently labelled tissues mounted on glass slides.,2019-07-05T20:00:00,Eileen,Anderson,780-492-0911,780-492-0607,2019-06-20T14:50:59,2019-06-20T15:00:35,,Epifluorescent Microscope,Alberta,Open,NWPTA/TILMA & CFTA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=E987498D-79CE-4932-AFCD-3C037A904910,"N6650K MICROSCOPE  N6650KA MICROSCOPE, COMPOUND (INCLUDES, PHASE, POLARIZING)  N6650KF MICROSCOPE ACCESSORIES, EXCEPT ELECTRON",,e987498d-79ce-4932-afcd-3c037a904910,RFP 2019-0109,AB-2019-03955
Request for Bid,Construction,,"ISL Engineering and Land Services has been engaged by the City of Camrose to prepare a formal reclamation plan for an old Well Transfer Station, and a number of Groundwater Monitoring Wells located in SW¼ - 24-45-20-W4. The City of Camrose is requesting bids on the demolition of the well station based on the attached documents.",2019-07-16T20:00:00,Greg,Germain,(780)438-9000,,2019-06-25T14:56:17,2019-06-25T15:41:57,"City of Camrose
5204 – 50 Avenue
Camrose, AB T4V 0S8
Attn: Sean Mascaluk",Camrose Well Station Demolition,Alberta,Open,NWPTA/TILMA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=E1855FF8-2647-45F3-B9FF-3D0F9AEC4CC8,"5112B Demolition Work  5133D Sewers/ Drainage  5134B Pipeline Construction  5139A Construction Services, Not Elsewhere Specified  5139C General Heavy Construction  E108A Asbestos Removal Services","1. Offers signed under seal, executed, and dated will be received by:
The City of Camrose
5204 – 50 Avenue
Camrose, AB T4V 0S8
Up to Tuesday, July 16, 2019 2:00.00 PM Mountain Standard Time.
2. Bids shall be clearly marked Camrose Well Station Demolition.
3. Offers submitted after above time will be returned to bidder unopened.
4. Offers will be opened publically after the time for receipt of Bids.
5. Amendments to submitted bid will be permitted if received in writing prior to bid
closing and if endorsed by same party or parties who signed and sealed the original
offer. Faxed amendments or bids will not be accepted.",e1855ff8-2647-45f3-b9ff-3d0f9aec4cc8,Camrose Well Station Demolition,AB-2019-04031
Request for Proposal,Services,ADDENDUM #2 NOW POSTED - This Request for Proposals (“RFP”) is an invitation by Alberta Health Services (“AHS”) to prospective Proponents to submit proposals for the provision of Elevating Device Maintenance Services in the Edmonton Zone at various sites.,ADDENDUM #2 NOW POSTED - This Request for Proposals (“RFP”) is an invitation by Alberta Health Services (“AHS”) to prospective Proponents to submit proposals for the provision of Elevating Device Maintenance Services in the Edmonton Zone at various sites.,2019-07-25T20:00:00,Tammy,Nowicki,(780)801-1093,(780)735-0354,2019-05-31T19:31:08,2019-06-04T09:30:00,,Elevating Device Maintenance,Alberta,Open,NWPTA/TILMA & CFTA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=89382970-7DF1-48C9-8037-3D16CDB68BC9,"5169C Elevator Installation  5169CB Elevator Maintenance (buildings)  JX3960 Freight Elevators -repair  JX3960A Elevators - Repair  N3960 Freight Elevators  N3960A Dumbwaiter, Shipboard  N3960B Elevators  N3960BA Elevators, Freight  N3960BC Elevators, Passenger  N3960F Elevators Special Design (for the Handicapped)",,89382970-7df1-48c9-8037-3d16cdb68bc9,AHS-2018-1859,AB-2019-03635
