SOLICITATION,OPPORTUNITY_REF,REV_NUMBER,CONTACT,TELEPHONE,FACSIMILE,GSIN,NOTICE_TYPE,REGION_OPP,REGION_DELIVERY,AGREEMENT_TYPE,SOLIC_METHOD,ESTIMATED_VALUE,POSTING_DATE,CLOSING_DATE,CLOSING_TIME,E_TITLE,F_TITLE,E_DETAIL_1,F_DETAIL_1,E_DETAIL_2,F_DETAIL_2,URL,JURISDICTION
WR19-007,41611348,2,Michael Hill,,1 604 574-7355,IA03,Invitation to Tender,,BC,,,,20190527,20190529,14:00 Pacific Time,2019 CCTV Inspection & Smoke Testing Program,,"
May 27, 2019 - addendum 2 issued. Please view supplier attachments for deta
ils.

May 22, 2019 - addendum 1 issued. Please view supplier attachments for deta
ils.

The City of White Rock invites tenders for the 2019 CCTV Inspection and Smo
ke Testing Program. Please view supplier attachments for details.",,"
Michael Hill
City of White Rock
Engineering and Municipal Operations
877 Keil Street

White Rock
British Columbia
V4B 4V6",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41611348,BC
RFP2020-01-CBBC,41611589,1,"Buchanan, Kaleigh",1 (250) 304-1627,,AS01,Request for Proposal,,BC,,,,20190527,20190610,12:00 Pacific Time,Network Design and Configuration,,"
May 27, 2019, Amendment #1: Question & Answer Document has been added. Colu
mbia Basin Broadband Corporation (CBBC) is seeking proposals from Certified
 Network Professionals to assist with network design, configuration and pro
ject management relating to the construction of a broadband network through
out the Columbia Basin.",,"
Buchanan, Kaleigh 
Columbia Basin Trust
300, 445 13 Ave


Castlegar
British Columbia
V1N 1G1",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41611589,BC
RFP2019-19,41612175,1,Trust Procurement,,,AD15,Request for Proposal,,BC,,,,20190527,20190614,11:00 Pacific Time,Writing and Editing Services,,"
Columbia Basin Trust is seeking qualified writers and editors to provide wr
iting and editing services for a variety of projects throughout the year.


May 27, 2019, Amendment #1: Question and Answer Series 1 document has been 
added.",,"
Trust Procurement
Columbia Basin Trust
Information Services
Suite 300, 445-13th Avenue

Castlegar
British Columbia
V1N 1G1",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41612175,BC
ITQ2020-04-CBBC,41608963,0,"Buchanan, Kaleigh",1 (250) 3041627,,58 59,Invitation to Quote,,BC,,,,20190527,20190624,12:00 Pacific Time,Raritan Power Distribution Units,,"
Columbia Basin Broadband Corporation (CBBC) invites interested parties to s
ubmit price quotations for Raritan Power Distribution Units (PDU) outlined 
in the attached ITQ in Schedule A.",,"
Buchanan, Kaleigh 
Columbia Basin Trust
300, 445 13 Ave


Castlegar
British Columbia
V1N 1G1",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41608963,BC
ITQ2020-02-CBBC,41608843,0,"Buchanan, Kaleigh",1 (250) 3041627,,58 59,Invitation to Quote,,BC,,,,20190527,20190624,12:00 Pacific Time,Cisco Equipment,,"
Columbia Basin Broadband Corporation (CBBC) invites interested parties to s
ubmit price quotations for Cisco equipment which is outlined in the attache
d document as Schedule A.",,"
Buchanan, Kaleigh 
Columbia Basin Trust
300, 445 13 Ave


Castlegar
British Columbia
V1N 1G1",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41608843,BC
ITQ2020-01-CBBC,41607290,0,"Buchanan, Kaleigh",1 (250) 3041627,,58 59,Invitation to Quote,,BC,,,,20190527,20190624,12:00 Pacific Time,Liebert Uninterruptable Power Supplies,,"
Columbia Basin Broadband Corporation (CBBC) invites interested parties to s
ubmit price quotations for Liebert Uninterruptable Power Supplies (UPS) Pow
er Equipment outlined in the ITQ document as Schedule A.",,"
Buchanan, Kaleigh 
Columbia Basin Trust
300, 445 13 Ave


Castlegar
British Columbia
V1N 1G1",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41607290,BC
RFP 06/19,41558284,2,"Dronfield, Sue",1 (250) 475-1775  3481,1 (250) 475-5460,BG,Request for Proposal,,BC,,,,20190527,20190617,15:00 Pacific Time,Power Skating Services at G. R. Pearkes Recreation Centre,,"
Invitation to Request for Proposal:  For ""RFP 06/19 - Power Skating Service
s at G. R. Pearkes Recreation Centre"".  

Scope of Work:  The purpose of this RFP is to select one (1) qualified Prop
onent (""Supplier"") to provide power skating classes based on available ice,
 space and community demand at the Pearkes Recreation Centre, 3100 Tillicum
 Road, Victoria, BC V9A 6T2 on a seasonal basis (September - December, Janu
ary - June).  Summer camps will be run during July or August, depending on 
ice availability. It is anticipated that the initial Contract will commence
 September 2019. 

For additional details, see section 4.0 Scope of Work and Responsibilities.
 

Section 5.0 outlines the evaluation process for selecting the Preferred Pro
ponent. To receive full consideration, each Proposal should follow the subm
ission requirements.. Number of copies to be submitted is noted in Section 
2.

The contract term is for a three (3) year term with an option to renew for 
two (2) additional one year terms upon mutual agreement.  

Addendum Letter No. 1 has been posted, dated May 27, 2019.  NOTE:  the RFP 
has been placed on hold and a new closing date will be selected once the Ev
aluation Process has been updated. The date selected as of May 27 is an int
erm date to keep process open. 

Closing Date:   ON HOLD 


Notes:  
It is the sole responsibility of the Bidder to make sure they have addenda(
s) before submitting their Bid Response.

All awards and results will be posted on the Saanich website: <a class=""doc
_mailto"" target=""_new"" href=""http://www.saanich.ca/EN/main/business/selling
-to-saanich/bid-opportunities.html"">http://www.saanich.ca/EN/main/business/
selling-to-saanich/bid-opportunities.html</a> under ""Selling to Saanich"", u
nder ""Bid Opportunities"".",,"
Dronfield, Sue 
Corporation of the District of Saanich
770 Vernon Avenue


Victoria
British Columbia
V8X 2W7",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41558284,BC
Q 19/19,41607180,0,"Dronfield, Sue",1 (250) 475-1775  3481,1 (250) 475-5460,75 7510 7520 7117,Invitation to Quote,,BC,,,,20190527,20190611,15:00 Pacific Time,"Whiteboards, Tables and Chairs",,"
Invitation to Quote:  For ""Q 19/19 - Whiteboards, Tables and Chairs"".  

Scope of Work:  This is an invitation to quote on whiteboards, tables and c
hairs as listed on the pricing table for the Saanich Emergency Program Divi
sion.  It is the intent to purchase either all magnetic whiteboards, all gl
ass magnetic whiteboards or a combination of each. 

Site Meeting:  A mandatory site meeting has been scheduled for Tuesday, Jun
e 4th, 2019 at 10:00 a.m., meeting at the main entrance of the Emergency Pr
ogram Office, 760 Vernon Avenue, Victoria, BC.

Closing Date:   June 11, 2019 at 3:00 P.M.  

 
Notes:  
It is the sole responsibility of the Bidder to make sure they have addenda(
s) before submitting their Bid Response.

All awards and results will be posted on the Saanich website: <a class=""doc
_mailto"" target=""_new"" href=""http://www.saanich.ca/EN/main/business/selling
-to-saanich/bid-opportunities.html"">http://www.saanich.ca/EN/main/business/
selling-to-saanich/bid-opportunities.html</a> under ""Selling to Saanich"", u
nder ""Bid Opportunities"".",,"
Dronfield, Sue 
Corporation of the District of Saanich
770 Vernon Avenue


Victoria
British Columbia
V8X 2W7",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41607180,BC
AQ 09/19,41609605,0,"Dronfield, Sue",1 (250) 475-1775  3481,1 (250) 475-5460,BE04 AN02,Invitation to Quote,,BC,,,,20190527,20190611,15:00 Pacific Time,Roadside Flail Mowing Services,,"
Invitation to Quote:  For ""AQ 09/19 - Roadside Flail Mowing Services "".  

Scope of Work:  This is an invitation to quote on the rental of ""Flail Trac
tor Mowers"" complete with operators.   Saanich requires flail mowing servic
es annually for approximately 400 kilometers per year starting mid-May unti
l mid-August.  The estimated number of hours for the 2019 is 400 hours.  Th
e minimum charge out rate is four (4) hours.   

Closing Date:   June 11, 2019 at 3:00 P.M.  


Notes:  
It is the sole responsibility of the Bidder to make sure they have addenda(
s) before submitting their Bid Response.

All awards and results will be posted on the Saanich website: <a class=""doc
_mailto"" target=""_new"" href=""http://www.saanich.ca/EN/main/business/selling
-to-saanich/bid-opportunities.html"">http://www.saanich.ca/EN/main/business/
selling-to-saanich/bid-opportunities.html</a> under ""Selling to Saanich"", u
nder ""Bid Opportunities"".",,"
Dronfield, Sue 
Corporation of the District of Saanich
770 Vernon Avenue


Victoria
British Columbia
V8X 2W7",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41609605,BC
R19-40,41608331,0,"Annis, Erin",1 (250) 746-2583,,4630,Request for Quotation,,BC,,,,20190527,20190621,14:00 Local Time,Claro Fine Step Screen Package,,"
This Request for Quotations (the ""RFQ"") is an invitation by the Cowichan Va
lley Regional District (the ""CVRD"") to prospective respondents to submit no
n-binding quotations for one Claro Fine Step Screen Package as further desc
ribed in Section A of the RFQ Particulars (Appendix D) (the""Deliverables"").

The CVRD uses the electronic Bonfire system for submissions.  To view compe
tition documents please go to:

https://cvrd.bonfirehub.ca/opportunities/23852",,"
Annis, Erin 
Cowichan Valley Regional District
175 Ingram Street


Duncan
British Columbia
V9L 1N8",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41608331,BC
2019-01,41612017,1,"Bossons, Marla",,,AF01,Invitation to Quote,,BC,,,,20190527,20190607,14:00 Pacific Time,Beaumont Ave Archaeological Impact Assessment,,"
Overview of Project:
The District of North Cowichan seeks the services of an Archaeological Cons
ultant to provide preliminary archaeological services for:
&#183;	The replacement of a watermain on Beaumont Avenue in Maple Bay.


Full project details can be found on the District's online portal at: 
https://northcowichan.bonfirehub.ca/portal/ 
https://northcowichan.bonfirehub.ca/opportunities/23622


Submission Instructions:
Proposals must be submitted through the District's online portal at: https:
//northcowichan.bonfirehub.ca/portal/ 

Submissions by other methods will not be accepted. 

Minimum system requirements are Google Chrome or Mozilla Firefox. Javascrip
t must be enabled. Browser cookies must be enabled.

Proponents should contact Bonfire at <a class=""doc_mailto"" href=""mailto:Sup
port@GoBonfire.com"">Support@GoBonfire.com</a> for technical questions relat
ed to submissions, or visit Bonfire's help forum at https://bonfirehub.zend
esk.com/hc 

This is a new bidding process for North Cowichan. Please do not hesitate to
 contact us if you have any questions or require more information regarding
 bidding on this RFP.",,"
Bossons, Marla 
District of North Cowichan
Finance
7030 TransCanada Highway

Duncan
British Columbia
V9L 6A1",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41612017,BC
SSN2019-018-720-BCTC,41607271,0,"Tam, Patsy",1 (604) 2154796,1 (604) 2155057,BL,Notice of Intent,,BC,,,,20190527,20190603,13:00 Pacific Time,NOI Purchase of Proof-of-Concept NextGen9-1-1 Call Handling Sol,,"
E-COMM Emergency Communications for British Columbia Inc. (""E-COMM"") intend
s to purchase a Proof-of-Concept call handling system from TELUS Communicat
ions Company (""TELUS"") to enable E-COMM to integrate its existing operation
al technology systems with the TELUS Next Generation 9-1-1 (""NG-911"") i3 ne
twork for test and evaluation purposes.

Per CRTC Telecom Regulatory Policy 2017-182, dated June 2017, TELUS is requ
ired to establish its NG9-1-1 networks and be ready to provide NG-911 Voice
 service by 30 June 2020, wherever PSAPs have been established in a particu
lar region.

Note: All times are in Pacific Daylight Time",,"
Tam, Patsy 
E-Comm Communications for British Columbia Inc. (E-Comm)
Procurement
3301 East Pender Street

Vancouver
British Columbia
V5K 5J3",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41607271,BC
20FW002 & 20WS101,41610406,0,"Renvoize, Simon",1 (250) 3838300  232,,EZ,Request for Proposal,,BC,,,,20190527,20190613,14:00 Pacific Time,"Condition Assesment, life cycle analysis of various strucutres",,"
Greater Victoria Harbour Authority (""GVHA"") invites interested parties with
 relevant experience to submit a Proposal under this Request for Proposal (
""RFP"") to provide Engineering Services (""Goods & Services"") for a ""Conditio
n Assessment & Life Cycle Analysis of structures over water, Victoria BC",,"
Renvoize, Simon 
Greater Victoria Harbour Authority
100-1019 Wharf Street


Victoria
British Columbia
V8W 2Y9",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41610406,BC
BG202004,41610834,1,"Garson, Bonnie",,,EZ,Request for Proposal,,BC,,,,20190527,20190613,15:00 Pacific Time,RIH PHARMACY 6220005/EKH PHARMACY 6420000 & SLH PHARMACY 6220007,,"
MAY 17, 2019

RFP - Architectural and Engineering Services for the design and constructio
n of the following projects using Design Bid Build as the method of constru
ction contract:

RIH PHARMACY RENOVATION - 6220005 - located at Royal Inland Hospital,Kamloo
ps, BC
EKH PHARMACY RENOVATION - 6420000 - located at East Kootenay Regional Hospi
tal,Cranbrook, BC
SLH PHARMACY RENOVATION - 6220007 - located at Shuswap Lake General Hospita
l, Salmon Arm, BC

NOTE:  This opportunity may only be responded to on-line through BC Bid.  N
o mailed, faxed or emailed responses will be considered.

*See RFP for full details",,"
Garson, Bonnie 
Interior Health Authority
Capital Planning and Projects
505 Doyle Avenue, 4th Floor

Kelowna
British Columbia
V1Y 0C5",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41610834,BC
10530,41611221,0,Pierre Manarovici,1 (604) 6016000,1 (604) 6827967,CX,Request for Expressions of Interest,,BC,,,,20190527,20190628,16:00 Pacific Time,Local Agent Services: Williams Lake - Expression of Interest,,"
May 27/2019 - The Legal Services Society (LSS) is soliciting Expressions of
 Interest (EOIs) from qualified lawyers and law firms, professional corpora
tions or partnerships, or other legal entities that meet the requirements s
et out in this document, to deliver services in Williams Lake and surroundi
ng area as may be necessary.",,"
Pierre Manarovici
Legal Services Society of British Columbia
Finance & Corporate Services
400-510 Burrard Street

Vancouver
British Columbia
V6C 3A8",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41611221,BC
NOI PAHB 2019-03,41611636,0,Caroline Bedard,1 (604) 556-3028,,AJ AJ04,Notice of Intent,,BC,,,,20190527,20190605,14:00 Pacific Time,Justification Reports for Minor Use Registration of Pesticides,,"
Notice is hereby given by the Ministry of Agriculture (the ""Ministry"") of i
ts intent to have a funding agreement with Camas Agri Consulting (the ""Vend
or"") to undertake activities on conducting literature reviews and write jus
tification reports to support pesticide registrations with the Pest Managem
ent Regulatory Agency for pests on hazelnut, tree fruits and grapes, berrie
s, ornamental/nursery crops and hops in BC.

The term of the funding agreement will be for approximately 11 months, begi
nning in June 2019 and ending on April 30, 2020.  The total dollar value of
 this funding agreement will not exceed $20,000.

Vendors wishing to object to this decision must contact Caroline Bedard at 
<a class=""doc_mailto"" href=""mailto:Caroline.Bedard@gov.bc.ca"">Caroline.Beda
rd@gov.bc.ca</a> on or before 2:00 p.m. (PST) on June 5, 2019 presenting in
 writing, specific reasons for their objection, including detailed informat
ion on how their services, meet or exceed the direct award reasons as state
d above. Vendors providing an objection must provide information to support
 relevant experience and ability to provide the described services for the 
same or better price.  This information will be key in considering the vali
dity of an objection.",,"
Caroline Bedard
Ministry of Agriculture
Plant and Animal Health
1767 Angus Campbell Road

Abbotsford
British Columbia
V3G 2M3",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41611636,BC
1920-6,41610717,4,"Brassard, Sheryl",1 (250) 861-7210,1 (250) 861-7490,AB,Request for Qualifications,,BC,,,,20190527,20190613,14:00 Pacific Time,RFQ - Expert Services,,"
The Ministry of Agriculture, Business Risk Management Branch, is seeking qu
alified individuals, organizations (or companies) interested in providing e
xpert services for the development and administration of Business Risk Mana
gement Programs in British Columbia. Interested respondents are encouraged 
to review the attached Request for Qualifications document and submit a com
plete response by the deadline indicated. Those responses that meet a minim
um qualification score will be added to a qualified bidder's list.

Amendment 1 & 2: A question and answer document has been added.

Amendment 3 & 4: The RFQ was updated to include service to the Ministry of 
Agriculture in addition to BRMB and the close date was extended from May 30
, 2019 to June 13, 2019. Interested respondents are encouraged to review th
e attached Request for Qualifications document and submit a complete respon
se by the deadline indicated.",,"
Brassard, Sheryl 
Ministry of Agriculture
200-1690 Powick Road


Kelowna
British Columbia
V1X 7G5",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41610717,BC
SHRC-001,41611667,2,"Grills, Kiran",1 (250) 882-8370,,AB02,Request for Qualifications,,BC,,,,20190527,20190603,14:00 Pacific Time,CITZ RFQ - SHRC-001 - Professional Consulting Services,,"
May 27, 2019 - Amendment 1 - extended closing date to June 3, 2019.
May 27, 2019 - Amendment 2 - updated attachment.

Purpose of this RFQ:
The purpose of this Request for Qualifications (RFQ) is to determine if the
re are qualified individual consultants and consulting companies that are a
ble to provide human resource recruitment services, as well as job descript
ion writing services and evaluations, on an as, if and when required basis,
 to the Ministry of Citizens' Services between June 17, 2019 and June 17, 2
021. 

In order to qualify, individual consultants/consulting companies should hav
e the experience to perform professional services in one or more of the fol
lowing Service Areas: 

a)Hiring and Recruitment - Our hiring processes are designed to be non-part
isan, fair, consistent and transparent and are based on competence and abil
ity to do the job. Hiring on merit ensures that we have a strong, neutral w
orkforce that is able to provide excellent service to the public.

b)Job description preparation - Respondents will be added to the List of Qu
alified Consultants by demonstrating an appropriate level of expertise with
in each of the individual Service Areas.",,"
Grills, Kiran 
Ministry of Citizens' Services
Strategic Human Resources
4000 Seymour Place

Victoria
British Columbia
V8W 9V1",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41611667,BC
ITQ-005894,41502142,0,"Trapler, Len",1 (250) 387-7300,1 (250) 387-7309,,ITQ,,BC,,,,20190527,20190604,14:00 Pacific Time,Atlassian Confluence (Server) 250 Commercial Licence (Victoria),,"
Enquiries related to this ITQ, including any requests for information or cl
arification may only be directed in writing to <a class=""doc_mailto"" href=""
mailto:procurement@gov.bc.ca"">procurement@gov.bc.ca</a>. Procurement Servic
es will respond if time permits before the Closing Time. Information obtain
ed from any other source is not official and should not be relied upon. Enq
uiries and any responses providing new information will be recorded and pos
ted to BC Bid or otherwise distributed to prospective Bidders.

Bids may be submitted by fax. Bids or proposals by e-mail cannot be accepte
d in response to this Invitation to Quote. Bids submitted by e-mail will no
t be considered. 

Note: Any changes or updated information regarding this ITQ/Bid Opportunity
 will only be posted on the BC Bid website at <a class=""doc_mailto"" target=
""_new"" href=""http://www.bcbid.gov.bc.ca/"">http://www.bcbid.gov.bc.ca/</a>. 
Bidder(s) are advised to check the website daily, as it is the supplier(s) 
responsibility to ensure that they have the most recent version.",,"
Trapler, Len 
Ministry of Citizens' Services
3rd floor 563 Superior Street
PO Box 9476 Stn Prov Govt

Victoria
British Columbia
V8W 9W6",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41502142,BC
ITQ-005900,41613609,0,"Trapler, Len",1 (250) 387-7300,1 (250) 387-7309,,ITQ,,BC,,,,20190527,20190604,14:00 Pacific Time,1 Steel Girder Concrete Deck Bridge (Vavenby),,"
Enquiries related to this ITQ, including any requests for information or cl
arification may only be directed in writing to <a class=""doc_mailto"" href=""
mailto:procurement@gov.bc.ca"">procurement@gov.bc.ca</a>. Procurement Servic
es will respond if time permits before the Closing Time. Information obtain
ed from any other source is not official and should not be relied upon. Enq
uiries and any responses providing new information will be recorded and pos
ted to BC Bid or otherwise distributed to prospective Bidders.

Bids may be submitted by fax. Bids or proposals by e-mail cannot be accepte
d in response to this Invitation to Quote. Bids submitted by e-mail will no
t be considered. 

Note: Any changes or updated information regarding this ITQ/Bid Opportunity
 will only be posted on the BC Bid website at <a class=""doc_mailto"" target=
""_new"" href=""http://www.bcbid.gov.bc.ca/"">http://www.bcbid.gov.bc.ca/</a>. 
Bidder(s) are advised to check the website daily, as it is the supplier(s) 
responsibility to ensure that they have the most recent version.",,"
Trapler, Len 
Ministry of Forests, Lands, Natural Resource Operations and R.D.
3rd floor 563 Superior Street
PO Box 9476 Stn Prov Govt

Victoria
British Columbia
V8W 9W6",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41613609,BC
GS20JHQ014,41567845,1,"Wood, Robert",1 (778) 698-8184,1 (250) 952-4485,EZ03,Request for Proposal,,BC,,,,20190527,20190617,22:00 Local Time,Cranbrook Fire Zone Base - Onsite Reporting for Civil Site Works,,"
The Ministry requires an on-site project manager at the local level.

Scope of Services
 
Working on behalf of Ministry of Forests, Lands, Natural Resource Operation
s, and Rural Development, as a Ministry Representative, the following lists
 the necessary provisional requirements needed:
 
As and when engagement with an ongoing Civil Construction Project at the Cr
anbrook Fire Zone Base 2552 Stahl Road Cranbrook BC. involving multiple con
struction trades and disciplines.
 
The role  of this position entails varied as and when  on site Bi-Weekly to
 Daily Observational Reporting during various  the stages of the constructi
on for 2 New Building Complexes and services.

The Ministry's expectation is to have, on an as and when basis, person or p
erson's with a strong Civil Engineering background as on-site expert(s) in 
the field. The individual(s) must have experience in construction projects 
of a similar scope and nature. The Ministry requires construction work obse
rvation and incident reports be prepared and submitted on a Bi-Weekly to Da
ily basis, dependent on the construction phase. All reports shall be submit
ted directly to the Project Manager. The person or person's while on-site w
ill be working fully as a Ministry Representative on an active fire base li
aising with the BC Wildfire Service in direct co-ordination with the Projec
t Manager located in Victoria.

Amendment No. 1
Address Correction - Location The Cranbrook Fire Base 2550 Stahl Road V1C 7
B1
Additional Information
Attachments:
Site Plan Civil-Area of Construction.
Specimen Sample Documents.",,"
Wood, Robert 
Ministry of Forests, Lands, Natural Resource Operations and R.D.
Client Services Branch
2nd Fl -3400 Davidson Avenue

Victoria
British Columbia
V8Z 3P8",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41567845,BC
EN20EHQ002,41612962,0,"Tayler,Cheri",1 (778) 974-2437,1 (250) 953-3687,AS12,Request for Proposal,,BC,,,$75000.000000 CAN,20190527,20190628,14:00 Local Time,Road Infrastructure Asset Management Plan Implementation Plan,,"
The Engineering Branch of Ministry of Forests, Lands, Natural Resource Oper
ations and Rural Development has developed a framework for their Road Infra
structure Asset Management Plan (RIAMP) (attached) and is seeking an outsid
e party to develop an implementation plan that will layout a process and an
 estimated cost for implementing their proposed electronic resource road da
ta collection system (Land Resource Manager (LRM)), across 23 Provincial Na
tural Resource Districts in alignment with the (RIAMP) framework.",,"
Tayler,Cheri
Ministry of Forests, Lands, Natural Resource Operations and R.D.
Engineering
1520 Blanshard St
PO Box 9525 Stn Prov Govt
Victoria
British Columbia
V8W 9C3",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41612962,BC
1070-20-NEGENGINEER,41612338,0,"Page, Steve",1 (250) 847-6396,,BI,Invitation to Tender,,BC,,,,20190527,20190613,14:00 Pacific Time,As & When Structural Engineering Services,,"
May 27, 2019

	Sealed tenders for ""As and When"" Structural Engineering Services for the D
istricts of Prince George, Nadina and Coast Mountain, will be received by F
ront Counter BC on behalf of the Northern Engineering Group, C/O 5th Floor 
499 George Street, Prince George, British Columbia V2L 1R5, not later than 
14:00 local time, June 13, 2019, at which time all tenders will be opened i
n public at 14:30 local time. 
 
	Tenders must be submitted in accordance with the terms and conditions spec
ified in the tender package.  The lowest priced or any tender will not nece
ssarily be accepted. This solicitation is subject to the New West Partnersh
ip Trade Agreement (NWPTA), the Agreement on Internal Trade (AIT), the Agre
ement between the Government of Canada and the Government of the United Sta
tes of America on Government Procurement (CUSPA), and the World Trade Organ
ization Agreement on Government Procurement (GPA).",,"
Page, Steve
Ministry of Forests, Lands, Natural Resource Operations and R.D.
Engineering Branch
153-1011 4th Avenue

Prince George
British Columbia
V2L 3H9",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41612338,BC
10528,41607217,1,"Jiao, Yuna",1 (250) 4198594,,AU01 AU AU02 AU03 AU06,Request for Proposal,,BC,,,,20190527,20190614,14:00 Pacific Time,"2019 LiDAR and Aerial image acquisition for NDMP Floodplain, BC",,"
The Province of BC requires assistance in acquiring light detection and ran
ging data (LiDAR) and digital aerial imagery for a mandatory area of 6588 k
m², and an optional area of 891 km² along parts of British Columbia. The ob
jective of this project is to provide a high resolution/high accuracy base 
data set, suitable to support modeling of overland flows resulting from pot
ential dike breach scenarios as part of the Province's current floodplain m
apping and the National Disaster Mitigation Program (NDMP). Coastal areas m
ust be acquired at low tide.
Amendment # 1: Document title changed to ""2019 LiDAR and Aerial image acqui
sition for NDMP Floodplain, BC""",,"
Jiao, Yuna 
Ministry of Forests, Lands, Natural Resource Operations and R.D.
GeoBC
3400 Davidson ave

Victoria
British Columbia
V8Z 3P8",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41607217,BC
RFQ20-AGLG-02,41610493,0,Julia Crosby,,,AB02,Request for Qualifications,,BC,,,,20190527,20190624,14:00 Pacific Time,Capital Project Management Advisors,,"
The AGLG is soliciting for individuals to serve as subject-matter experts/a
dvisors on their upcoming performance audits of local governments under the
 audit topic of Capital Project Management. They are interested in individu
als who have subject-matter expertise in one or more of a variety of areas 
and who may have experience working with/for local governments in this capa
city.

The purpose of this Request for Qualifications is to qualify Consultants ex
perienced in the following Subject Matter Areas: 
&#183; Civil Engineer
&#183; Structural Engineer
&#183; Design Engineer
&#183; Procurement Specialist
&#183; Project Manager
&#183; Asset Management Specialist
&#183; Quantity Surveyor
&#183; Architect
&#183; Legal Expertise",,"
Julia Crosby
Ministry of Municipal Affairs and Housing
Economy Ministries
800 Johnston Street

Victoria
British Columbia
V8W 1N3",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41610493,BC
MOTI-SRFP-TA-201905,41612469,1,TranIMB Contracts,,,AS05 AS09,Short-form Request for Proposal,,BC,,,,20190527,20190613,14:00 Pacific Time,IM/IT Infrastructure and System Administration,,"
May 27, 2019 - Addenda #1 - Q&A
-------------------------------
The Ministry of Transportation is looking for up to 3 consultants to provid
e IM/IT Infrastructure and system administration services in one or more of
 the following areas:
      · Administration of Microsoft IIS, Apache HTTP Server, or Apache Tomc
at Application Servers on Windows
       · Microsoft SharePoint Server administration
       · Configuring and administering reporting services such as PowerBI o
r SharePoint Reporting Services 
· Microsoft SQL Server, MySQL/MariaDB, or PostgreSQL Database Server Admini
stration on Windows
 
The estimated volume of work is up to 100% level of effort up to a period o
f one year, subject to funding. Ideally, the consultants will be available 
to provide services starting mid June 2019. Independent consultants and con
tractor resourcing agencies are welcome to submit a proposal in response to
 this RFP, using the attached Appendix A proposal submission form.
 
For further information, see the attached short-form RFP.",,"
TranIMB Contracts
Ministry of Transportation and Infrastructure
Information Management Branch
3D-940 Blanshard Street

Victoria
British Columbia
V8W 9T5",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41612469,BC
37189MJ0001,41577235,0,"VALDERAMA, LOUIZA",1 (604) 5272239,,BI EE,ITQ,,BC,,,,20190527,20190618,14:00 Pacific Time,Highway No. 16 Savory Rest Area,,,,"
VALDERAMA, LOUIZA 
Ministry of Transportation and Infrastructure - Construction
Suite 310 - 1500 Woolridge St


Coquitlam
British Columbia
V3K 0B8",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41577235,BC
08900MJ0005,41606258,1,"VALDERAMA, LOUIZA",1 (604) 5272239,,BI EE,ITQ,,BC,,,,20190527,20190619,14:00 Pacific Time,Construction of approximately 167m of new boardwalk in Delta BC,,,,"
VALDERAMA, LOUIZA 
Ministry of Transportation and Infrastructure - Construction
Suite 310 - 1500 Woolridge St


Coquitlam
British Columbia
V3K 0B8",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41606258,BC
